ANNEE;COLL_NOM;COLL_SIRET;COLL_TYPE;ACTE_DATE;ACTE_REF;ATTRIB_NOM;ATTRIB_SIRET;SUB_OBJ;SUB_MONTANT;Notification à la commission Européenne
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;ZO PROD;42507515700000.0;Soutien au collectif d'artistes dans ses activités de création, de diffusion, de gestion d'un lieu de fabrique et d'accueil d'équipes artistiques.;20000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0071;PIMMS SAINT-ELOI;79201467200000.0;Point d'information, d'accès mutualisé et d'aide à l'utilisation des services publics.;3920.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0095;LIGUE POUR LA PROTECTION DES OISEAUX DELEGATION VIENNE (LPO VIENNE);38869119800000.0;"AIDE POUR LE DEVELOPPEMENT D'ACTIONS SUR POITIERS : 
- Sensibiliser les habitants à la protection des oiseaux et de la biodiversité en général.
- Mettre en place des actions de partenariat avec le service des espaces verts
- Mettre en place des actions de partenariat avec les bailleurs sociaux pour la protection et l'accueil des oiseaux en ville";1500.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0106;COMITE DE QUARTIER DES TROIS CITES;49259253000000.0;"Subvention pour permettre le fonctionnement du Comité de quartier dont l'objectif est d'encourager un ""mieux vivre-ensemble"" sur le quartier des Trois Cités par l'organisation de diverses actions.";4200.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0107;POURQUOI PAS LA RUCHE;34161302400000.0;Financement des activités de lien social et de la mission d'insertion sociale et professionnelle en Atelier Chantier d'Insertion.;41000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0107;SECOURS POPULAIRE FRANCAIS FEDERATION DE LA VIENNE - SPF86;39118404100000.0;"CF page précédente ""objectifs poursuivis"".
En tant qu'ONG et les valeurs portées par notre association, toutes les activités menées le sont en respectant la dignité des personnes. Nous ne pratiquons pas l'assistanat mais l'accompagnement.";3820.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0111;ASSOCIATION DES ARTISANS COMMERCANTS DU MARCHE NOTRE DAME DE POITIERS;51456791600000.0;Cette subvention correspond au reversement de 5% des droits de place receuillis par la Ville de Poitiers en 2016.;3605.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0111;FEDERATION DES AGENTS ECONOMIQUES DE POITIERS CENTRE - FAE;40897480600000.0;Mise en oeuvre du programme d'animation, de professionnalisation et de communication pour l'attractivité et le développement commercial du coeur de l'agglomération poitevine;50000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0048;INITIATIVE DEVELOPPEMENT;39459802300000.0;Soutien aux investissement réalisés dans le cadre du projet d'appui au développement local de Moundou. La création de plans de développement d'arrondissements permet de faire émerger des actions prioritaires qui nécessitent travaux et achats de matériel/équipement. Le financement demandé permettra la réalisation de deux moulins à mil dans les quartiers de Tayé et Ngara.;5000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;ASSOCIATION SPORTIVE AMICALE DES COURONNERIES POITIERS - ASAC;37991350200000.0;"DISPOSITIF DE SOCIALISATION ET D'APPRENTISSAGE PAR LES ACTIVITES SPORTIVES ET SOCIO EDUCATIVES
Élaboration d'une charte de l'esprit sportif chaque début de saison en collaboration avec les parents, les dirigeants et les éducateurs.
Mise en place d'un suivi individualisé sportif, scolaire et familiale en relation avec les établissements scolaires 
Séjours d'échange culturel et sportif avec d'autres structures
Sensibilisation à la nutrition et l'équilibre alimentaire grâce à l'intervention d'une diététicienne et la distribution d'un goûter équilibré chaque semaine.";2000.0;NON
